Product Title/Description,Event Sub Type,Order Date,Customer's Delivery Pincode,order_date,Shipping State,Gross Sale,Net Sales,Return,Promo Sales,hour
Product 8,Return,2023-08-25 00:00:00.0,494449,2023-08-25 13:10:22,Chattisgarh,0.0,-209.0,-209.0,0.0,13.0
Product 9,Return,2023-08-24 00:00:00.0,787053,2023-08-24 07:19:13,Assam,0.0,-214.0,-214.0,0.0,7.0
Product 1,Cancellation,2023-08-31 00:00:00.0,560066,2023-08-31 20:19:59,Karnataka,0.0,0.0,0.0,0.0,20.0
Product 1,Return,2023-08-24 00:00:00.0,272207,2023-08-24 20:28:21,Uttar Pradesh,0.0,-904.0,-904.0,0.0,20.0
Product 2,Sale,2023-09-02 00:00:00.0,670673,2023-09-02 09:38:37,Kerala,234.0,234.0,0.0,0.0,9.0
Product 5,Sale,2023-09-03 00:00:00.0,508116,2023-09-03 18:42:46,Telangana,234.0,234.0,0.0,0.0,18.0
Product 5,Sale,2023-09-02 00:00:00.0,110038,2023-09-02 11:35:50,Delhi,227.0,227.0,0.0,0.0,11.0
Product 5,Sale,2023-09-03 00:00:00.0,574216,2023-09-03 15:44:35,Karnataka,234.0,234.0,0.0,0.0,15.0
Product 5,Sale,2023-09-02 00:00:00.0,182311,2023-09-02 10:32:37,Jammu and Kashmir,234.0,234.0,0.0,0.0,10.0
Product 5,Sale,2023-09-02 00:00:00.0,680684,2023-09-02 11:46:45,Kerala,229.0,229.0,0.0,0.0,11.0
Product 5,Sale,2023-09-03 00:00:00.0,560077,2023-09-03 21:02:08,Karnataka,229.0,229.0,0.0,0.0,21.0
Product 5,Sale,2023-09-03 00:00:00.0,624401,2023-09-03 17:23:45,Tamil Nadu,234.0,234.0,0.0,0.0,17.0
Product 8,Sale,2023-09-02 00:00:00.0,224001,2023-09-02 11:52:05,Uttar Pradesh,214.0,214.0,0.0,0.0,11.0
Product 3,Sale,2023-09-02 00:00:00.0,572101,2023-09-02 10:04:51,Karnataka,231.0,231.0,0.0,0.0,10.0
Product 3,Sale,2023-09-02 00:00:00.0,695572,2023-09-02 11:49:27,Kerala,229.0,229.0,0.0,0.0,11.0
Product 3,Sale,2023-09-03 00:00:00.0,492007,2023-09-03 16:40:42,Chhattisgarh,229.0,229.0,0.0,0.0,16.0
Product 3,Sale,2023-09-03 00:00:00.0,600010,2023-09-03 16:52:24,Tamil Nadu,222.0,222.0,0.0,0.0,16.0
Product 3,Sale,2023-09-03 00:00:00.0,691306,2023-09-03 12:36:08,Kerala,234.0,234.0,0.0,0.0,12.0
Product 11,Return,2023-08-26 00:00:00.0,201305,2023-08-26 20:37:09,Uttar Pradesh,0.0,-203.0,-203.0,0.0,20.0
Product 11,Return,2023-08-27 00:00:00.0,201005,2023-08-27 10:41:43,Uttar Pradesh,0.0,-201.0,-201.0,0.0,10.0
Product 11,Sale,2023-09-03 00:00:00.0,560102,2023-09-03 16:25:26,Karnataka,192.0,192.0,0.0,0.0,16.0
Product 12,Sale,2023-09-03 00:00:00.0,600037,,Tamil Nadu,229.0,229.0,0.0,0.0,
Product 11,Return,2023-08-29 00:00:00.0,638007,2023-08-29 11:27:53,Tamil Nadu,0.0,-203.0,-203.0,0.0,11.0
Product 11,Sale,2023-09-04 00:00:00.0,572116,2023-09-04 19:44:46,Karnataka,203.0,203.0,0.0,0.0,19.0
Product 8,Sale,2023-09-02 00:00:00.0,177108,2023-09-02 14:52:36,Himachal Pradesh,214.0,214.0,0.0,0.0,14.0
Product 8,Sale,2023-09-04 00:00:00.0,122002,2023-09-04 12:57:20,Haryana,202.0,202.0,0.0,0.0,12.0
Product 5,Sale,2023-09-04 00:00:00.0,535128,2023-09-04 21:52:18,Andhra Pradesh,230.0,230.0,0.0,0.0,21.0
Product 5,Sale,2023-09-03 00:00:00.0,689122,2023-09-03 10:37:10,Kerala,229.0,229.0,0.0,0.0,10.0
Product 13,Sale,2023-09-04 00:00:00.0,201318,2023-09-04 13:10:19,Uttar Pradesh,904.0,904.0,0.0,0.0,13.0
Product 12,Sale,2023-09-04 00:00:00.0,600077,2023-09-04 22:45:38,Tamil Nadu,229.0,229.0,0.0,0.0,22.0
Product 12,Sale,2023-09-04 00:00:00.0,734006,2023-09-04 22:47:28,West Bengal,229.0,229.0,0.0,0.0,22.0
Product 12,Sale,2023-09-04 00:00:00.0,522007,2023-09-04 21:39:35,Andhra Pradesh,234.0,234.0,0.0,0.0,21.0
Product 12,Sale,2023-09-02 00:00:00.0,380008,2023-09-02 14:10:15,Gujarat,229.0,229.0,0.0,0.0,14.0
Product 3,Sale,2023-09-02 00:00:00.0,110094,2023-09-02 12:11:45,Delhi,234.0,234.0,0.0,0.0,12.0
Product 3,Sale,2023-09-04 00:00:00.0,395023,,Gujarat,230.0,230.0,0.0,0.0,
Product 3,Cancellation,2023-09-04 00:00:00.0,560073,2023-09-04 13:44:47,Karnataka,0.0,0.0,0.0,0.0,13.0
Product 3,Sale,2023-09-04 00:00:00.0,560073,2023-09-04 13:44:47,Karnataka,234.0,234.0,0.0,0.0,13.0
Product 9,Sale,2023-09-04 00:00:00.0,505001,2023-09-04 22:56:25,Telangana,214.0,214.0,0.0,0.0,22.0
Product 9,Sale,2023-09-04 00:00:00.0,624211,2023-09-04 09:35:40,Tamil Nadu,207.0,207.0,0.0,0.0,9.0
Product 9,Sale,2023-09-04 00:00:00.0,585227,2023-09-04 10:57:25,Karnataka,214.0,214.0,0.0,0.0,10.0
Product 9,Sale,2023-09-02 00:00:00.0,208005,2023-09-02 16:56:11,Uttar Pradesh,209.0,209.0,0.0,0.0,16.0
Product 9,Sale,2023-09-02 00:00:00.0,500035,2023-09-02 15:11:09,Telangana,209.0,209.0,0.0,0.0,15.0
Product 9,Sale,2023-09-02 00:00:00.0,829143,2023-09-02 19:54:45,Jharkhand,207.0,207.0,0.0,0.0,19.0
Product 9,Sale,2023-09-04 00:00:00.0,642207,2023-09-04 11:50:27,Tamil Nadu,214.0,214.0,0.0,0.0,11.0
Product 9,Sale,2023-09-04 00:00:00.0,492001,2023-09-04 10:26:01,Chattisgarh,209.0,209.0,0.0,0.0,10.0
Product 9,Sale,2023-09-05 00:00:00.0,743368,2023-09-05 21:30:41,West Bengal,209.0,209.0,0.0,0.0,21.0
Product 9,Sale,2023-09-05 00:00:00.0,632006,2023-09-05 13:49:25,Tamil Nadu,209.0,209.0,0.0,0.0,13.0
Product 9,Sale,2023-09-05 00:00:00.0,412207,2023-09-05 13:21:01,Maharashtra,209.0,209.0,0.0,0.0,13.0
Product 9,Return,2023-08-28 00:00:00.0,834004,2023-08-28 08:45:20,Jharkhand,0.0,-214.0,-214.0,0.0,8.0
Product 9,Sale,2023-09-05 00:00:00.0,689695,2023-09-05 14:02:45,Kerala,202.0,202.0,0.0,0.0,14.0
Product 9,Cancellation,2023-09-05 00:00:00.0,743368,2023-09-05 21:31:52,West Bengal,0.0,0.0,0.0,0.0,21.0
Product 9,Sale,2023-09-05 00:00:00.0,743368,2023-09-05 21:31:52,West Bengal,209.0,209.0,0.0,0.0,21.0
Product 9,Return,2023-08-22 00:00:00.0,560087,2023-08-22 07:52:32,Karnataka,0.0,-214.0,-214.0,0.0,7.0
Product 9,Sale,2023-09-05 00:00:00.0,522647,2023-09-05 14:20:09,Andhra Pradesh,214.0,214.0,0.0,0.0,14.0
Product 9,Sale,2023-09-05 00:00:00.0,503308,2023-09-05 09:09:00,Telangana,214.0,214.0,0.0,0.0,9.0
Product 12,Sale,2023-09-05 00:00:00.0,560062,2023-09-05 17:33:18,Karnataka,229.0,229.0,0.0,0.0,17.0
Product 12,Cancellation,2023-09-04 00:00:00.0,600077,2023-09-04 22:45:38,Tamil Nadu,0.0,0.0,0.0,0.0,22.0
Product 12,Sale,2023-09-05 00:00:00.0,680687,2023-09-05 20:15:04,Kerala,227.0,227.0,0.0,0.0,20.0
Product 8,Sale,2023-09-05 00:00:00.0,121102,2023-09-05 22:28:09,Haryana,209.0,209.0,0.0,0.0,22.0
Product 3,Return,2023-08-17 00:00:00.0,401201,2023-08-17 22:18:21,Maharashtra,0.0,-234.0,-234.0,0.0,22.0
Product 3,Sale,2023-09-05 00:00:00.0,401201,,Maharashtra,234.0,234.0,0.0,0.0,
Product 2,Return,2023-08-29 00:00:00.0,600053,2023-08-29 15:53:27,Tamil Nadu,0.0,-229.0,-229.0,0.0,15.0
Product 5,Return,2023-08-29 00:00:00.0,440026,2023-08-29 17:11:44,Maharashtra,0.0,-229.0,-229.0,0.0,17.0
Product 5,Return,2023-08-30 00:00:00.0,520008,2023-08-30 19:44:56,Andhra Pradesh,0.0,-227.0,-227.0,0.0,19.0
Product 11,Return,2023-08-21 00:00:00.0,302029,2023-08-21 23:40:27,Rajasthan,0.0,-198.0,-198.0,0.0,23.0
Product 6,Sale,2023-09-02 00:00:00.0,686574,2023-09-02 12:20:21,Kerala,954.0,954.0,0.0,954.0,12.0
Product 5,Return,2023-08-31 00:00:00.0,638476,2023-08-31 12:20:47,Tamil Nadu,0.0,-229.0,-229.0,0.0,12.0
Product 5,Return,2023-08-29 00:00:00.0,532407,2023-08-29 22:46:22,Andhra Pradesh,0.0,-234.0,-234.0,0.0,22.0
Product 3,Sale,2023-09-06 00:00:00.0,636502,2023-09-06 04:40:42,Tamil Nadu,234.0,234.0,0.0,0.0,4.0
Product 2,Return,2023-08-27 00:00:00.0,736101,,West Bengal,0.0,-234.0,-234.0,0.0,
Product 12,Sale,2023-09-06 00:00:00.0,562159,,Karnataka,229.0,229.0,0.0,0.0,
Product 9,Return,2023-08-26 00:00:00.0,535002,2023-08-26 06:58:37,Andhra Pradesh,0.0,-214.0,-214.0,0.0,6.0
Product 9,Sale,2023-09-06 00:00:00.0,431801,2023-09-06 07:43:37,Maharashtra,214.0,214.0,0.0,0.0,7.0
Product 1,Sale,2023-09-06 00:00:00.0,560097,2023-09-06 08:56:25,Karnataka,899.0,899.0,0.0,0.0,8.0
Product 10,Sale,2023-09-07 00:00:00.0,751002,2023-09-07 18:50:09,Odisha,954.0,954.0,0.0,0.0,18.0
Product 14,Sale,2023-09-07 00:00:00.0,679329,2023-09-07 21:03:45,Kerala,954.0,954.0,0.0,0.0,21.0
Product 8,Return,2023-08-31 00:00:00.0,535128,2023-08-31 20:09:39,Andhra Pradesh,0.0,-211.0,-211.0,0.0,20.0
Product 8,Return,2023-08-21 00:00:00.0,585104,2023-08-21 15:14:50,Karnataka,0.0,-214.0,-214.0,0.0,15.0
Product 8,Sale,2023-09-07 00:00:00.0,508205,2023-09-07 14:48:29,Telangana,209.0,209.0,0.0,0.0,14.0
Product 15,Sale,2023-09-07 00:00:00.0,110074,2023-09-07 13:41:20,Delhi,1034.0,1034.0,0.0,0.0,13.0
Product 16,Sale,2023-09-07 00:00:00.0,491441,2023-09-07 19:07:34,Chattisgarh,231.0,231.0,0.0,0.0,19.0
Product 3,Return,2023-09-02 00:00:00.0,572101,2023-09-02 10:04:51,Karnataka,0.0,-231.0,-231.0,0.0,10.0
Product 3,Sale,2023-09-07 00:00:00.0,521132,2023-09-07 13:37:59,Andhra Pradesh,229.0,229.0,0.0,0.0,13.0
Product 3,Return,2023-08-29 00:00:00.0,203201,2023-08-29 12:01:49,Uttar Pradesh,0.0,-234.0,-234.0,0.0,12.0
Product 9,Sale,2023-09-07 00:00:00.0,284003,2023-09-07 15:21:47,Uttar Pradesh,214.0,214.0,0.0,0.0,15.0
Product 9,Sale,2023-09-07 00:00:00.0,141007,2023-09-07 13:58:17,Punjab,209.0,209.0,0.0,0.0,13.0
Product 9,Sale,2023-09-06 00:00:00.0,641018,2023-09-06 09:20:19,Tamil Nadu,214.0,214.0,0.0,0.0,9.0
Product 5,Sale,2023-09-07 00:00:00.0,582116,2023-09-07 12:54:29,Karnataka,234.0,234.0,0.0,0.0,12.0
Product 5,Sale,2023-09-07 00:00:00.0,441111,2023-09-07 17:04:43,Maharashtra,234.0,234.0,0.0,0.0,17.0
Product 5,Return,2023-08-30 00:00:00.0,122102,2023-08-30 17:39:28,Haryana,0.0,-222.0,-222.0,0.0,17.0
Product 5,Sale,2023-09-06 00:00:00.0,530004,2023-09-06 11:45:31,Andhra Pradesh,234.0,234.0,0.0,0.0,11.0
Product 5,Return,2023-08-31 00:00:00.0,535128,,Andhra Pradesh,0.0,-232.0,-232.0,0.0,
Product 12,Sale,2023-09-07 00:00:00.0,496661,2023-09-07 12:46:51,Chattisgarh,229.0,229.0,0.0,0.0,12.0
Product 12,Sale,2023-09-07 00:00:00.0,532185,2023-09-07 22:02:38,Andhra Pradesh,222.0,222.0,0.0,0.0,22.0
Product 1,Return,2023-08-27 00:00:00.0,502220,2023-08-27 15:28:18,Telangana,0.0,-904.0,-904.0,0.0,15.0
Product 11,Sale,2023-09-08 00:00:00.0,625002,2023-09-08 10:24:45,Tamil Nadu,203.0,203.0,0.0,0.0,10.0
Product 11,Sale,2023-09-08 00:00:00.0,793016,2023-09-08 13:58:38,Megalaya,194.0,194.0,0.0,0.0,13.0
Product 5,Cancellation,2023-09-07 00:00:00.0,441111,2023-09-07 17:04:43,Maharashtra,0.0,0.0,0.0,0.0,17.0
Product 5,Sale,2023-09-08 00:00:00.0,758035,2023-09-08 20:49:41,Odisha,234.0,234.0,0.0,0.0,20.0
Product 5,Sale,2023-09-08 00:00:00.0,636451,2023-09-08 20:47:24,Tamil Nadu,234.0,234.0,0.0,0.0,20.0
Product 5,Sale,2023-09-08 00:00:00.0,627116,2023-09-08 15:20:40,Tamil Nadu,222.0,222.0,0.0,0.0,15.0
Product 5,Sale,2023-09-06 00:00:00.0,600101,2023-09-06 15:29:48,Tamil Nadu,229.0,229.0,0.0,0.0,15.0
Product 5,Sale,2023-09-07 00:00:00.0,584101,,Karnataka,449.0,449.0,0.0,0.0,
Product 5,Return,2023-08-31 00:00:00.0,638051,2023-08-31 21:59:04,Tamil Nadu,0.0,-234.0,-234.0,0.0,21.0
Product 5,Sale,2023-09-06 00:00:00.0,515671,2023-09-06 13:43:40,Andhra Pradesh,229.0,229.0,0.0,0.0,13.0
Product 5,Sale,2023-09-06 00:00:00.0,441111,2023-09-06 20:41:57,Maharashtra,234.0,234.0,0.0,0.0,20.0
Product 5,Sale,2023-09-06 00:00:00.0,313001,2023-09-06 13:08:06,Rajasthan,234.0,234.0,0.0,0.0,13.0
Product 12,Sale,2023-09-07 00:00:00.0,584101,2023-09-07 11:36:22,Karnataka,449.0,449.0,0.0,0.0,11.0
Product 12,Sale,2023-09-08 00:00:00.0,486001,2023-09-08 22:56:01,Madhya Pradesh,227.0,227.0,0.0,0.0,22.0
Product 12,Sale,2023-09-08 00:00:00.0,625531,2023-09-08 13:34:58,Tamil Nadu,234.0,234.0,0.0,0.0,13.0
Product 12,Sale,2023-09-08 00:00:00.0,440015,2023-09-08 19:03:22,Maharashtra,222.0,222.0,0.0,0.0,19.0
Product 8,Sale,2023-09-08 00:00:00.0,231302,2023-09-08 14:44:43,Uttar Pradesh,214.0,214.0,0.0,0.0,14.0
Product 8,Sale,2023-09-07 00:00:00.0,273158,2023-09-07 13:40:26,Uttar Pradesh,404.0,404.0,0.0,0.0,13.0
Product 8,Sale,2023-09-08 00:00:00.0,441912,,Maharashtra,423.0,423.0,0.0,0.0,
Product 8,Sale,2023-09-06 00:00:00.0,201017,2023-09-06 18:25:27,Uttar Pradesh,209.0,209.0,0.0,0.0,18.0
Product 8,Sale,2023-09-06 00:00:00.0,626141,2023-09-06 18:24:14,Tamil Nadu,214.0,214.0,0.0,0.0,18.0
Product 3,Return,2023-08-24 00:00:00.0,176053,2023-08-24 14:38:59,Himachal Pradesh,0.0,-229.0,-229.0,0.0,14.0
Product 3,Return,2023-08-30 00:00:00.0,224210,2023-08-30 20:19:54,Uttar Pradesh,0.0,-229.0,-229.0,0.0,20.0
Product 17,Sale,2023-09-08 00:00:00.0,403517,2023-09-08 21:14:11,Goa,222.0,222.0,0.0,0.0,21.0
Product 17,Sale,2023-09-07 00:00:00.0,603003,2023-09-07 09:52:22,Tamil Nadu,229.0,229.0,0.0,0.0,9.0
Product 16,Return,2023-08-31 00:00:00.0,765013,2023-08-31 16:59:28,Odisha,0.0,-244.0,-244.0,0.0,16.0
Product 9,Sale,2023-09-08 00:00:00.0,501505,2023-09-08 12:58:34,Telangana,214.0,214.0,0.0,0.0,12.0
Product 9,Sale,2023-09-08 00:00:00.0,441912,2023-09-08 08:28:55,Maharashtra,423.0,423.0,0.0,0.0,8.0
Product 9,Sale,2023-09-08 00:00:00.0,501505,2023-09-08 13:03:01,Telangana,214.0,214.0,0.0,0.0,13.0
Product 9,Sale,2023-09-08 00:00:00.0,637201,2023-09-08 17:22:55,Tamil Nadu,214.0,214.0,0.0,0.0,17.0
Product 9,Sale,2023-09-07 00:00:00.0,800003,2023-09-07 11:35:59,Bihar,214.0,214.0,0.0,0.0,11.0
Product 9,Sale,2023-09-08 00:00:00.0,532185,2023-09-08 17:15:54,Andhra Pradesh,208.0,208.0,0.0,0.0,17.0
Product 9,Sale,2023-09-08 00:00:00.0,532425,2023-09-08 11:06:08,Andhra Pradesh,214.0,214.0,0.0,0.0,11.0
Product 9,Sale,2023-09-08 00:00:00.0,504303,2023-09-08 16:21:47,Telangana,214.0,214.0,0.0,0.0,16.0
Product 9,Sale,2023-09-07 00:00:00.0,273158,,Uttar Pradesh,404.0,404.0,0.0,0.0,
Product 9,Return Cancellation,2023-08-18 00:00:00.0,530040,2023-08-18 10:05:40,Andhra Pradesh,0.0,0.0,0.0,0.0,10.0
Product 3,Return,2023-09-03 00:00:00.0,600010,2023-09-03 16:52:24,Tamil Nadu,0.0,-222.0,-222.0,0.0,16.0
Product 5,Return Cancellation,2023-08-31 00:00:00.0,638051,2023-08-31 21:59:04,Tamil Nadu,0.0,0.0,0.0,0.0,21.0
Product 8,Sale,2023-09-09 00:00:00.0,641605,2023-09-09 04:55:59,Tamil Nadu,209.0,209.0,0.0,0.0,4.0
Product 8,Sale,2023-09-09 00:00:00.0,641605,2023-09-09 04:58:25,Tamil Nadu,209.0,209.0,0.0,0.0,4.0
Product 16,Return,2023-08-31 00:00:00.0,765013,2023-08-31 17:02:28,Odisha,0.0,-244.0,-244.0,0.0,17.0
Product 8,Sale,2023-09-10 00:00:00.0,175001,2023-09-10 22:44:23,Himachal Pradesh,202.0,202.0,0.0,0.0,22.0
Product 8,Sale,2023-09-10 00:00:00.0,522006,2023-09-10 17:45:40,Andhra Pradesh,214.0,214.0,0.0,0.0,17.0
Product 12,Cancellation,2023-09-09 00:00:00.0,273408,2023-09-09 09:35:19,Uttar Pradesh,0.0,0.0,0.0,0.0,9.0
Product 12,Sale,2023-09-09 00:00:00.0,273408,2023-09-09 09:35:19,Uttar Pradesh,234.0,234.0,0.0,0.0,9.0
Product 12,Sale,2023-09-10 00:00:00.0,400092,2023-09-10 12:40:20,Maharashtra,234.0,234.0,0.0,0.0,12.0
Product 12,Sale,2023-09-10 00:00:00.0,690108,,Kerala,229.0,229.0,0.0,0.0,
Product 6,Sale,2023-09-06 00:00:00.0,691571,,Kerala,1049.0,1049.0,0.0,0.0,
Product 5,Sale,2023-09-10 00:00:00.0,534341,2023-09-10 18:08:05,Andhra Pradesh,229.0,229.0,0.0,0.0,18.0
Product 5,Sale,2023-09-08 00:00:00.0,440007,2023-09-08 15:13:00,Maharashtra,463.0,463.0,0.0,0.0,15.0
Product 5,Sale,2023-09-09 00:00:00.0,313324,2023-09-09 09:10:14,Rajasthan,234.0,234.0,0.0,0.0,9.0
Product 5,Return Cancellation,2023-08-30 00:00:00.0,520008,2023-08-30 19:44:56,Andhra Pradesh,0.0,0.0,0.0,0.0,19.0
Product 10,Return,2023-09-01 00:00:00.0,841219,2023-09-01 14:12:52,Bihar,0.0,-954.0,-954.0,0.0,14.0
Product 17,Sale,2023-09-10 00:00:00.0,533450,,Andhra Pradesh,230.0,230.0,0.0,0.0,
Product 16,Sale,2023-09-10 00:00:00.0,756100,2023-09-10 13:51:50,Odisha,239.0,239.0,0.0,0.0,13.0
Product 11,Sale,2023-09-09 00:00:00.0,110043,2023-09-09 09:36:35,Delhi,203.0,203.0,0.0,0.0,9.0
Product 11,Sale,2023-09-10 00:00:00.0,825314,2023-09-10 21:49:35,Jharkhand,198.0,198.0,0.0,0.0,21.0
Product 7,Sale,2023-09-06 00:00:00.0,691571,,Kerala,1049.0,1049.0,0.0,0.0,
Product 3,Sale,2023-09-10 00:00:00.0,441107,2023-09-10 18:34:39,Maharashtra,234.0,234.0,0.0,0.0,18.0
Product 3,Return Cancellation,2023-08-30 00:00:00.0,224210,2023-08-30 20:19:54,Uttar Pradesh,0.0,0.0,0.0,0.0,20.0
Product 9,Return,2023-09-02 00:00:00.0,208005,2023-09-02 16:56:11,Uttar Pradesh,0.0,-209.0,-209.0,0.0,16.0
Product 9,Sale,2023-09-10 00:00:00.0,515591,2023-09-10 18:19:42,Andhra Pradesh,209.0,209.0,0.0,0.0,18.0
Product 9,Return,2023-08-18 00:00:00.0,530040,2023-08-18 10:05:40,Andhra Pradesh,0.0,-214.0,-214.0,0.0,10.0
Product 12,Sale,2023-09-10 00:00:00.0,623703,2023-09-10 20:56:04,Tamil Nadu,666.0,666.0,0.0,0.0,20.0
Product 5,Sale,2023-09-11 00:00:00.0,431606,2023-09-11 07:15:14,Maharashtra,234.0,234.0,0.0,0.0,7.0
Product 5,Sale,2023-09-09 00:00:00.0,221005,,Uttar Pradesh,222.0,222.0,0.0,0.0,
Product 5,Sale,2023-09-09 00:00:00.0,530017,2023-09-09 15:27:41,Andhra Pradesh,234.0,234.0,0.0,0.0,15.0
Product 5,Sale,2023-09-10 00:00:00.0,623703,,Tamil Nadu,666.0,666.0,0.0,0.0,
Product 5,Sale,2023-09-09 00:00:00.0,282001,2023-09-09 12:44:10,Uttar Pradesh,222.0,222.0,0.0,0.0,12.0
Product 5,Sale,2023-09-11 00:00:00.0,201301,,Uttar Pradesh,230.0,230.0,0.0,0.0,
Product 5,Sale,2023-09-11 00:00:00.0,506001,2023-09-11 22:02:11,Telangana,222.0,222.0,0.0,0.0,22.0
Product 5,Sale,2023-09-09 00:00:00.0,600083,2023-09-09 16:42:24,Tamil Nadu,222.0,222.0,0.0,0.0,16.0
Product 5,Sale,2023-09-09 00:00:00.0,532440,2023-09-09 13:40:07,Andhra Pradesh,234.0,234.0,0.0,0.0,13.0
Product 5,Sale,2023-09-11 00:00:00.0,563114,2023-09-11 17:28:02,Karnataka,227.0,227.0,0.0,0.0,17.0
Product 5,Sale,2023-09-11 00:00:00.0,612701,2023-09-11 12:56:05,Tamil Nadu,234.0,234.0,0.0,0.0,12.0
Product 5,Sale,2023-09-09 00:00:00.0,500036,2023-09-09 23:05:56,Telangana,211.0,211.0,0.0,211.0,23.0
Product 7,Sale,2023-09-11 00:00:00.0,500049,2023-09-11 07:04:14,Telangana,1024.0,1024.0,0.0,0.0,7.0
Product 8,Sale,2023-09-11 00:00:00.0,577214,2023-09-11 20:51:22,Karnataka,214.0,214.0,0.0,0.0,20.0
Product 3,Sale,2023-09-11 00:00:00.0,522410,2023-09-11 19:05:58,Andhra Pradesh,234.0,234.0,0.0,0.0,19.0
Product 3,Sale,2023-09-11 00:00:00.0,465001,2023-09-11 17:14:51,Madhya Pradesh,234.0,234.0,0.0,0.0,17.0
Product 3,Sale,2023-09-11 00:00:00.0,493118,2023-09-11 08:45:03,Chattisgarh,234.0,234.0,0.0,0.0,8.0
Product 3,Sale,2023-09-11 00:00:00.0,533406,2023-09-11 18:33:44,Andhra Pradesh,229.0,229.0,0.0,0.0,18.0
Product 3,Sale,2023-09-11 00:00:00.0,534447,2023-09-11 15:39:20,Andhra Pradesh,229.0,229.0,0.0,0.0,15.0
Product 3,Sale,2023-09-11 00:00:00.0,587103,2023-09-11 18:17:31,Karnataka,229.0,229.0,0.0,0.0,18.0
Product 2,Sale,2023-09-10 00:00:00.0,623703,,Tamil Nadu,666.0,666.0,0.0,0.0,
Product 11,Sale,2023-09-11 00:00:00.0,682011,2023-09-11 13:23:24,Kerala,198.0,198.0,0.0,0.0,13.0
Product 11,Sale,2023-09-11 00:00:00.0,415605,2023-09-11 14:14:33,Maharashtra,203.0,203.0,0.0,0.0,14.0
Product 11,Sale,2023-09-09 00:00:00.0,582116,2023-09-09 21:18:20,Karnataka,203.0,203.0,0.0,0.0,21.0
Product 11,Sale,2023-09-09 00:00:00.0,422101,2023-09-09 18:55:26,Maharashtra,203.0,203.0,0.0,0.0,18.0
